liczba_izb,nr_kondygnacji,calkowita_powierzchnia,wsp_x,wsp_y,adres_miejscowosc,adres_ulica,adres_numer,bud_id,dzialka_id,dzialka_mpzp,dzialka_sposob_uzytkowania,n_udzial_str,is_market_transaction,data_dokumentu,powierzchnia_final,osiedle,ma_pomieszczenia_przynalezne,rok,rok_miesiac_float,cena_za_m2,is_pierwotny,is_uzytkowanie_wieczyste,sprzedajacy_firma,sprzedajacy_jst,sprzedajacy_osoba,is_wielorodzinny,osiedle_cat
4.0,2.0,96.8,5808348.469,6428004.047,Poznań,ul. Za Groblą,5,,,,,1/1,True,2011-01-04,89.5,Stare Miasto,1,2011,2011.0,6351.824131048863,0,0,0,1,0,0,26
2.0,1.0,41.4,5808348.469,6428004.047,Poznań,ul. Za Groblą,5,,,,,1/1,True,2011-01-07,37.0,Stare Miasto,1,2011,2011.0,7462.780243545053,0,0,0,1,0,0,26
3.0,4.0,70.1,5804454.594,6425811.947,Poznań,ul. Wiklinowa,5,,,,,1/1,True,2011-01-12,61.8,Zielony Dębiec,1,2011,2011.0,8268.842560651834,0,0,0,1,0,0,36
3.0,0.0,61.2,5804454.594,6425811.947,Poznań,ul. Wiklinowa,5,,,,,1/1,True,2011-01-12,57.1,Zielony Dębiec,1,2011,2011.0,9262.128182042636,0,0,0,1,0,0,36
2.0,3.0,58.800000000000004,5804454.594,6425811.947,Poznań,ul. Wiklinowa,5,,,,,1/1,True,2011-01-12,54.2,Zielony Dębiec,1,2011,2011.0,8487.146130523583,0,0,0,1,0,0,36
3.0,3.0,58.4,5804454.594,6425811.947,Poznań,ul. Wiklinowa,5,,,,,1/1,True,2011-01-14,53.6,Zielony Dębiec,1,2011,2011.0,8738.210918947649,0,0,0,1,0,0,36
3.0,4.0,57.8,5804454.594,6425811.947,Poznań,ul. Wiklinowa,5,,,,,1/1,True,2011-01-19,53.5,Zielony Dębiec,1,2011,2011.0,9133.810852097711,0,0,0,1,0,0,36
4.0,3.0,76.7,5804454.594,6425811.947,Poznań,ul. Wiklinowa,5,,,,,1/1,True,2011-01-14,71.2,Zielony Dębiec,1,2011,2011.0,8326.941821892084,0,0,0,1,0,0,36
3.0,3.0,58.5,5804454.594,6425811.947,Poznań,ul. Wiklinowa,5,,,,,1/1,True,2011-01-19,53.4,Zielony Dębiec,1,2011,2011.0,8722.426085834732,0,0,0,1,0,0,36
3.0,3.0,77.5,5804454.594,6425811.947,Poznań,ul. Wiklinowa,5,,,,,1/1,True,2011-01-17,71.6,Zielony Dębiec,1,2011,2011.0,8873.942485062713,0,0,0,1,0,0,36
2.0,4.0,57.23,5807627.049,6428485.501,Poznań,ul. Na Miasteczku,12,,,,,1/1,True,2011-01-10,57.23,Rataje,0,2011,2011.0,8791.000219610694,0,0,0,1,0,0,24
2.0,6.0,40.59,5807627.049,6428485.501,Poznań,ul. Na Miasteczku,12,,,,,1/1,True,2011-01-10,40.59,Rataje,0,2011,2011.0,10444.145539247824,0,0,0,1,0,0,24
2.0,8.0,44.75,5807627.049,6428485.501,Poznań,ul. Na Miasteczku,12,,,,,1/1,True,2011-01-19,44.75,Rataje,0,2011,2011.0,10632.318412962692,0,0,0,1,0,0,24
3.0,1.0,49.07,5807627.049,6428485.501,Poznań,ul. Na Miasteczku,12,,,,,1/1,True,2011-01-21,49.07,Rataje,0,2011,2011.0,9983.192720507614,0,0,0,1,0,0,24
3.0,2.0,78.3,5804454.594,6425811.947,Poznań,ul. Wiklinowa,5,,,,,1/1,True,2011-01-21,72.0,Zielony Dębiec,1,2011,2011.0,8959.615904065688,0,0,0,1,0,0,36
2.0,1.0,37.98,5806758.259,6422289.206,Poznań,ul. Smardzewska,6,,,,,1/1,True,2011-01-04,37.98,Grunwald Południe,0,2011,2011.0,11532.190411642858,0,0,0,1,0,0,3
2.0,4.0,42.2,5806748.139,6425886.471,Poznań,ul. Robocza,39,,,,,1/1,True,2011-01-14,42.2,Wilda,0,2011,2011.0,5003.6204309244085,0,0,0,1,0,0,33
3.0,1.0,54.5,5807435.144,6425330.696,Poznań,ul. Józefa Łukaszewicza,8,,,,,1/1,True,2011-01-10,54.5,Łazarz,0,2011,2011.0,5662.530503197164,0,0,0,1,0,0,38
2.0,0.0,58.57,5806890.488,6421491.838,Poznań,ul. Jeleniogórska,1/3G,,,,,1/1,True,2011-01-04,54.21,Junikowo,1,2011,2011.0,9536.088762449193,0,0,0,1,0,0,9
1.0,0.0,38.98,5806890.488,6421491.838,Poznań,ul. Jeleniogórska,1/3G,,,,,1/1,True,2011-01-10,38.98,Junikowo,0,2011,2011.0,9551.286549440976,0,0,0,1,0,0,9
3.0,1.0,56.3,5807348.486,6424797.987,Poznań,ul. Franciszka Morawskiego,2,,,,,1/1,True,2011-01-17,56.3,Łazarz,0,2011,2011.0,11049.905801752597,0,0,0,1,0,0,38
4.0,0.0,115.6,5814173.177,6428151.341,Poznań,ul. Błażeja,14A,,,,,1/1,True,2011-02-09,115.6,Naramowice,0,2011,2011.0833333333333,8472.52646111,0,0,0,1,0,0,15
