liczba_izb,nr_kondygnacji,calkowita_powierzchnia,wsp_x,wsp_y,adres_miejscowosc,adres_ulica,adres_numer,bud_id,dzialka_id,dzialka_mpzp,dzialka_sposob_uzytkowania,n_udzial_str,is_market_transaction,data_dokumentu,powierzchnia_final,osiedle,ma_pomieszczenia_przynalezne,rok,rok_miesiac_float,cena_za_m2,odl_do_centrum,metry_na_izbe,wibor_3m,srednie_wynagrodzenie,is_pierwotny,is_uzytkowanie_wieczyste,sprzedajacy_firma,sprzedajacy_jst,sprzedajacy_osoba,is_wielorodzinny,osiedle_cat
3.0,3.0,55.6,5813369.429,6428381.352,Poznań,ul. Naramowicka,175,,,,,1/1,True,2011-01-07,55.6,Naramowice,0,2011,2011.0,9348.213931821143,4.922211256221402,18.533333333333335,3.95,3311.0,0,0,1,0,0,0,15
2.0,5.0,31.6,5807817.792,6429491.534,Poznań,ul. Katowicka,25,,,,,1/1,True,2011-01-12,31.6,Rataje,0,2011,2011.0,13621.102064028155,2.3425810171086505,15.8,3.95,3311.0,0,0,1,0,0,0,24
3.0,5.0,50.1,5805946.454,6429985.661,Poznań,os. Orła Białego,89,,,,,1/1,True,2011-01-04,50.1,Żegrze,0,2011,2011.0,8186.101259283745,3.7753073734104503,16.7,3.95,3311.0,0,0,1,0,0,0,40
5.0,1.0,90.0,5811461.692,6426277.797,Poznań,ul. Napoleońska,24,,,,,1/1,True,2011-01-05,90.0,Winiary,0,2011,2011.0,10196.69418243852,3.055350753086604,18.0,3.95,3311.0,0,0,1,0,0,0,34
2.0,3.0,26.25,5808514.435,6423160.957,Poznań,ul. Marcelińska,83a,,,,,1/1,True,2011-01-08,26.25,Grunwald Północ,0,2011,2011.0,10518.966438520647,4.113613118165888,13.125,3.95,3311.0,0,0,1,0,0,0,4
5.0,3.0,110.85,5807730.445,6424868.923,Poznań,ul. Bolesława Limanowskiego,29,,,,,1/1,True,2011-01-17,98.55,Łazarz,1,2011,2011.0,7746.306648476347,2.5486497998694886,19.71,3.95,3311.0,0,0,1,0,0,0,38
3.0,8.0,46.8,5813045.065,6426234.562,Poznań,os. Bolesława Chrobrego,39,,,,,1/1,True,2011-01-10,46.8,Piątkowo,0,2011,2011.0,7253.604779202351,4.590955340759557,15.6,3.95,3311.0,0,0,1,0,0,0,21
4.0,6.0,78.01,5809274.401,6427769.942,Poznań,ul. Garbary,95,,,,,1/1,True,2011-01-05,78.01,Stare Miasto,0,2011,2011.0,9525.642457046148,0.8586430970859648,19.5025,3.95,3311.0,0,0,1,0,0,0,26
2.0,4.0,26.43,5808254.025,6423558.28,Poznań,ul. Pawła Włodkowica,23,,,,,1/1,True,2011-01-20,26.43,Stary Grunwald,0,2011,2011.0,10140.053278770238,3.729564469748494,13.215,3.95,3311.0,0,0,1,0,0,0,29
4.0,1.0,67.3,5814422.382,6424696.414,Poznań,ul. Janiny Omańkowskiej,93b,,,,,1/1,True,2011-01-13,62.2,Podolany,1,2011,2011.0,9400.816421791196,6.391850521639825,15.55,3.95,3311.0,0,0,1,0,0,0,23
2.0,2.0,46.0,5808677.988,6423647.176,Poznań,ul. Międzychodzka,10,,,,,1/1,True,2011-01-07,46.0,Grunwald Północ,0,2011,2011.0,10416.399790063204,3.6284807963113606,23.0,3.95,3311.0,0,0,1,0,0,0,4
1.0,3.0,31.9,5807566.879,6429554.087,Poznań,ul. Katowicka,65A,,,,,1/1,True,2011-01-21,31.9,Rataje,0,2011,2011.0,14104.007876838145,2.4922136269866497,31.9,3.95,3311.0,0,0,1,0,0,0,24
3.0,5.0,91.0,5807552.465,6429450.79,Poznań,ul. Katowicka,55B,,,,,1/1,True,2011-01-19,75.7,Rataje,1,2011,2011.0,11371.91083813183,2.4041630489278023,25.233333333333334,3.95,3311.0,0,0,1,0,0,0,24
2.0,2.0,46.7,5808315.539,6427350.415,Poznań,ul. Strzałowa,2a,,,,,1/1,True,2011-01-14,46.7,Stare Miasto,0,2011,2011.0,12694.90454579619,0.26886634758007644,23.35,3.95,3311.0,0,0,1,0,0,0,26
5.0,2.0,101.2,5807592.326,6424919.211,Poznań,ul. Andrzeja i Władysława Niegolewskich,26,,,,,1/1,True,2011-01-05,101.2,Łazarz,0,2011,2011.0,7543.46363841249,2.5511094076541467,20.240000000000002,3.95,3311.0,0,0,1,0,0,0,38
4.0,1.0,79.0,5808723.433,6423533.461,Poznań,ul. Brzask,21C,,,,,1/1,True,2011-01-04,63.4,Grunwald Północ,1,2011,2011.0,13578.133287800938,3.7436961667041784,15.85,3.95,3311.0,0,0,1,0,0,0,4
2.0,1.0,37.0,5808723.433,6423533.461,Poznań,ul. Brzask,21A,,,,,1/1,True,2011-01-27,37.0,Grunwald Północ,0,2011,2011.0,5267.844877796509,3.7436961667041784,18.5,3.95,3311.0,0,0,1,0,0,0,4
3.0,3.0,49.6,5807352.273,6424976.737,Poznań,ul. Emilii Sczanieckiej,3a,,,,,1/1,True,2011-01-18,46.6,Łazarz,1,2011,2011.0,6971.039359029714,2.601759928863621,15.533333333333333,3.95,3311.0,0,0,1,0,0,0,38
4.0,6.0,56.800000000000004,5806787.758,6424105.866,Poznań,ul. Krzysztofa Arciszewskiego,29,,,,,1/1,True,2011-01-27,54.6,Łazarz,1,2011,2011.0,7318.059230418776,3.636810568737621,13.65,3.95,3311.0,0,0,1,0,0,0,38
3.0,2.0,51.1,5805840.078,6429794.764,Poznań,os. Orła Białego,111,,,,,1/1,True,2011-01-03,51.1,Żegrze,0,2011,2011.0,7310.724055780868,3.7181102373600585,17.033333333333335,3.95,3311.0,0,0,1,0,0,0,40
2.0,3.0,26.6,5809265.423,6423119.534,Poznań,ul. Bułgarska,154a,,,,,1/1,True,2011-01-18,26.6,Grunwald Północ,0,2011,2011.0,10685.869543775812,4.211860265707942,13.3,3.95,3311.0,0,0,1,0,0,0,4
